VRSB;ТНСэнВорон;-;0 %;-;-;-;-;-;09:59:48
VLHZ;ВХЗ-ао;-;0 %;-;-;-;-;-;09:59:42
VKCO;"МКПАО ""ВК""";-;0 %;-;-;-;-;-;09:59:52
VJGZP;Варьеган-п;-;0 %;-;-;-;-;-;09:59:34
VJGZ;Варьеган;-;0 %;-;-;-;-;-;09:59:44
VGSB;ВолгЭнСб;-;0 %;-;-;-;-;-;09:59:23
VEON-RX;VEON;-;0 %;-;-;-;-;-;09:59:03
UTAR;ЮТэйр ао;-;0 %;-;-;-;-;-;09:59:53
URKZ;УрКузница;-;0 %;-;-;-;-;-;09:59:54
UNKL;ЮУНК ао;-;0 %;-;-;-;-;-;09:59:44
UKUZ;ЮжКузб. ао;-;0 %;-;-;-;-;-;09:59:41
UGLD;ЮГК;-;0 %;-;-;-;-;-;09:59:53
TUZA;ТЗА ао;-;0 %;-;-;-;-;-;09:59:46
TTLK;Таттел. ао;-;0 %;-;-;-;-;-;09:59:48
TRNFP;Транснф ап;-;0 %;-;-;-;-;-;09:59:53
TORSP;ТРК ап;-;0 %;-;-;-;-;-;09:59:38
TNSE;ТНСэнрг ао;-;0 %;-;-;-;-;-;09:59:53
TGKBP;ТГК-2 ап;-;0 %;-;-;-;-;-;
TCSG;ТКСХолд ао;-;0 %;-;-;-;-;-;09:59:52
TATNP;Татнфт 3ап;-;0 %;-;-;-;-;-;09:59:44
TASBP;ТамбЭнСб-п;-;0 %;-;-;-;-;-;09:59:14
TASB;ТамбЭнСб;-;0 %;-;-;-;-;-;09:59:46
SLEN;Сахэнер ао;-;0 %;-;-;-;-;-;09:59:36
SELG;Селигдар;-;0 %;-;-;-;-;-;09:59:54
SBER;Сбербанк;-;0 %;-;-;-;-;-;09:59:54
SAREP;СаратЭн-ап;-;0 %;-;-;-;-;-;09:59:42
SARE;СаратЭн-ао;-;0 %;-;-;-;-;-;09:59:52
SAGOP;СамарЭн-ап;-;0 %;-;-;-;-;-;09:59:37
SAGO;СамарЭн-ао;-;0 %;-;-;-;-;-;09:59:39
RZSB;РязЭнСб;-;0 %;-;-;-;-;-;09:59:53
RTSBP;ТНСэнРст-п;-;0 %;-;-;-;-;-;09:59:42
RTSB;ТНСэнРст;-;0 %;-;-;-;-;-;09:59:44
RTGZ;ГР Ростов;-;0 %;-;-;-;-;-;09:59:45
ROST;РОСИНТЕРао;-;0 %;-;-;-;-;-;09:59:45
ROSB;Росбанк ао;-;0 %;-;-;-;-;-;09:59:53
RNFT;РуссНфт ао;-;0 %;-;-;-;-;-;09:59:54
RKKE;ЭнергияРКК;-;0 %;-;-;-;-;-;09:59:46
RGSS;РГС СК ао;-;0 %;-;-;-;-;-;09:59:52
RDRB;РДБанк ао;-;0 %;-;-;-;-;-;09:59:52
RBCM;ГК РБК ао;-;0 %;-;-;-;-;-;09:59:54
RASP;Распадская;-;0 %;-;-;-;-;-;09:59:54
PRMB;Приморье;-;0 %;-;-;-;-;-;09:59:50
PRFN;ЧЗПСН ао;-;0 %;-;-;-;-;-;
POSI;iПозитив;-;0 %;-;-;-;-;-;09:59:54
PMSBP;ПермьЭнС-п;-;0 %;-;-;-;-;-;09:59:45
PIKK;ПИК ао;-;0 %;-;-;-;855,1;-;09:59:51
PHOR;ФосАгро ао;-;0 %;-;-;-;-;-;09:59:53
OMZZP;ОМЗ-ап;-;0 %;-;-;-;-;-;09:59:34
NSVZ;iНаукаСвяз;-;0 %;-;-;-;-;-;09:59:50
NNSBP;ТНСэнНН ап;-;0 %;-;-;-;-;-;09:59:31
NNSB;ТНСэнНН ао;-;0 %;-;-;-;-;-;09:59:54
NMTP;НМТП ао;-;0 %;-;-;-;-;-;09:59:50
NKSH;Нижкамшина;-;0 %;-;-;-;-;-;09:59:45
NKNCP;НКНХ ап;-;0 %;-;-;-;-;-;09:59:32
NFAZ;НЕФАЗ;-;0 %;-;-;-;-;-;09:59:39
NAUK;iНПОНаука;-;0 %;-;-;-;-;-;09:59:44
MTLRP;Мечел ап;-;0 %;-;-;-;-;-;09:59:55
MRSB;МордЭнСб;-;0 %;-;-;-;-;-;09:59:31
MRKV;РсетВол ао;-;0 %;-;-;-;-;-;09:59:54
MRKK;Россети СК;-;0 %;-;-;-;-;-;09:59:48
MOEX;МосБиржа;-;0 %;-;-;-;-;-;09:59:51
MISBP;ТНСэМаЭл-п;-;0 %;-;-;-;-;-;09:59:29
MISB;ТНСэнМарЭл;-;0 %;-;-;-;-;-;09:59:39
MGTS;МГТС-5ао;-;0 %;-;-;-;-;-;09:59:34
MGNZ;СМЗ-ао;-;0 %;-;-;-;-;-;09:59:41
MFGSP;Мегион-ап;-;0 %;-;-;-;-;-;09:59:29
MFGS;Мегион-ао;-;0 %;-;-;-;-;-;09:59:42
MAGEP;МагадЭн ап;-;0 %;-;-;-;-;-;
MAGE;МагадЭн ао;-;0 %;-;-;-;-;-;09:59:29
LVHK;Левенгук;-;0 %;-;-;-;-;-;09:59:46
LSRG;ЛСР ао;-;0 %;-;-;-;-;-;09:59:51
KUZB;КузнецкийБ;-;0 %;-;-;-;-;-;09:59:53
KUBE;РСетКубань;-;0 %;-;-;-;-;-;09:59:44
KRSBP;Красэсб ап;-;0 %;-;-;-;-;-;09:59:06
KRSB;Красэсб ао;-;0 %;-;-;-;-;-;09:59:44
KROTP;КрасОкт-1п;-;0 %;-;-;-;-;-;09:59:53
KROT;КрасОкт-ао;-;0 %;-;-;-;-;-;09:59:39
KRKOP;ТКЗКК ап;-;0 %;-;-;-;-;-;09:59:38
KRKNP;СаратНПЗ-п;-;0 %;-;-;-;-;-;09:59:33
KRKN;СаратНПЗ;-;0 %;-;-;-;-;-;09:59:48
KOGK;КоршГОК ао;-;0 %;-;-;-;-;-;09:59:53
KMEZ;КМЗ;-;0 %;-;-;-;-;-;09:59:53
KLVZ;Кристалл;-;0 %;-;-;-;-;-;09:59:54
KLSB;КалужскСК;-;0 %;-;-;-;-;-;09:59:50
KGKCP;КурганГКап;-;0 %;-;-;-;-;-;09:59:45
KCHEP;КамчатЭ ап;-;0 %;-;-;-;-;-;09:59:46
KCHE;КамчатЭ ао;-;0 %;-;-;-;-;-;09:59:45
KAZTP;Куйбазот-п;-;0 %;-;-;-;-;-;09:59:29
KAZT;Куйбазот;-;0 %;-;-;-;-;-;09:59:36
JNOSP;Слав-ЯНОСп;-;0 %;-;-;-;-;-;09:59:53
JNOS;Славн-ЯНОС;-;0 %;-;-;-;-;-;09:59:39
INGR;ИНГРАД ао;-;0 %;-;-;-;-;-;09:59:48
IGST;Ижсталь2ао;-;0 %;-;-;-;-;-;
